Date,Open,High,Low,Close,Adj Close,Volume
2017-10-31,56.220001,56.740002000000004,55.490002000000004,55.5,55.5,24119437
2017-11-01,55.5,55.619999,52.720001,52.830002,52.830002,34633306
2017-11-02,52.82,54.900002,50.029999,54.189999,54.189999,68822709
2017-11-03,54.189999,56.130001,53.790001000000004,55.98,55.98,44375580
2017-11-04,55.98,56.119999,54.619999,54.830002,54.830002,23813377
2017-11-05,54.84,55.450001,54.43,54.599998,54.599998,22789832
2017-11-06,54.599998,55.790001000000004,53.43,54.5,54.5,35930222
2017-11-07,54.5,63.490002000000004,54.470001,60.52,60.52,117999766
2017-11-08,60.52,64.07,59.59,62.380001,62.380001,119045612
2017-11-09,62.380001,66.900002,61.59,64.150002,64.150002,96467373
2017-11-10,64.150002,65.75,56.02,58.990002000000004,58.990002000000004,112277387
2017-11-11,59.07,63.77,58.639998999999996,62.139998999999996,62.139998999999996,71691165
2017-11-12,62.139998999999996,62.259997999999996,56.73,58.540001000000004,58.540001000000004,90545722
2017-11-13,58.529999,61.84,58.07,61.0,61.0,63578216
2017-11-14,61.0,63.41,60.119999,62.130001,62.130001,57740143
2017-11-15,62.130001,76.099998,62.080002,63.16,63.16,62683272
2017-11-16,63.150002,72.5,62.5,70.699997,70.699997,108893924
2017-11-17,70.699997,71.290001,65.33000200000001,67.360001,67.360001,117701637
2017-11-18,67.360001,69.769997,65.410004,69.41999799999999,69.41999799999999,54642292
2017-11-19,69.41999799999999,73.239998,68.470001,71.760002,71.760002,77870138
2017-11-20,71.760002,73.160004,70.900002,72.379997,72.379997,70492845
2017-11-21,72.379997,72.849998,68.089996,69.910004,69.910004,90392116
2017-11-22,69.910004,72.040001,69.879997,72.029999,72.029999,48021169
2017-11-23,72.029999,76.769997,70.739998,72.940002,72.940002,107737051
2017-11-24,72.970001,77.610001,72.339996,77.540001,77.540001,82185081
2017-11-25,77.529999,89.470001,77.07,88.790001,88.790001,158025655
2017-11-26,88.769997,88.769997,83.730003,86.239998,86.239998,79938117
2017-11-27,86.199997,93.110001,86.120003,90.989998,90.989998,142772956
2017-11-28,90.989998,94.529999,89.529999,94.220001,94.220001,111647453
2017-11-29,94.220001,103.029999,78.120003,85.410004,85.410004,283266729
2017-11-30,85.400002,92.230003,76.949997,85.940002,85.940002,159892481
2017-12-01,85.940002,100.220001,81.110001,99.150002,99.150002,201759858
2017-12-02,99.150002,103.410004,97.519997,99.32,99.32,142658345
2017-12-03,99.32,106.769997,96.870003,100.699997,100.699997,138622765
2017-12-04,100.709999,103.949997,95.389999,103.870003,103.870003,107176440
2017-12-05,103.860001,103.910004,100.370003,100.489998,100.489998,92720782
2017-12-06,100.489998,103.0,95.110001,98.970001,98.970001,146319763
2017-12-07,98.940002,99.809998,86.93,96.0,96.0,165747903
2017-12-08,95.989998,136.399994,93.370003,125.239998,125.239998,473760093
2017-12-09,125.339996,179.53999299999998,125.339996,155.979996,155.979996,853646807
2017-12-10,155.979996,156.720001,130.389999,147.83999599999999,147.83999599999999,361899241
2017-12-11,147.46000700000002,225.55000299999998,146.970001,214.539993,214.539993,806672044
2017-12-12,214.52999900000003,401.76001,210.36000099999998,328.519989,328.519989,1712426348
2017-12-13,327.959991,347.799988,276.119995,305.269989,305.269989,1198402020
2017-12-14,305.02999900000003,314.77999900000003,268.119995,279.809998,279.809998,584754476
2017-12-15,280.019989,282.640015,249.24000499999997,262.640015,262.640015,131619408
